train_nbr,ariv_delay,dept_delay,mileage,fare_plan_cds,states_cd,orig_stns,dest_stns
72800,20,0,133,165,7,412,397
5510,1,6,151,66,9,441,490
76500,22,18,103,165,7,239,404
13500,92,0,231,79,22,43,326
18200,0,0,225,181,10,478,326
216000,-2,0,134,102,10,478,350
17800,0,3,206,105,37,302,324
14310,5,0,58,105,37,320,460
215400,-1,0,116,28,11,488,326
36500,4,0,319,89,25,362,62
18200,10,2,215,76,23,478,324
400,55,52,358,89,37,143,1
76800,16,0,129,216,21,239,399
69100,0,0,84,235,8,42,484
71200,7,4,30,223,7,149,201
30600,1,0,160,121,17,440,41
31400,15,1,283,35,27,222,443
38100,-1,0,104,89,17,62,347
18200,-1,0,116,140,11,488,326
14810,-1,0,184,79,37,24,326
9000,40,73,276,12,34,391,460
215400,-2,0,225,174,23,478,326
6420,-18,22,237,89,37,467,326
7920,34,1,170,89,41,344,371
73200,-12,1,83,217,7,36,397
5310,-41,-25,855,82,12,252,414
177700,2,0,0,216,30,395,340
19300,-3,1,134,142,10,344,480
17800,-4,1,106,89,22,310,43
8810,4,0,41,243,23,478,24
15730,-2,0,160,35,49,344,482
23700,10,0,114,89,37,320,207
36500,3,1,119,12,25,251,315
216000,-9,0,231,179,47,320,28
77400,0,6,83,218,7,212,399
9510,60,34,165,12,22,308,350
18500,-3,2,225,169,37,320,480
216000,10,0,232,102,22,320,43
39000,58,0,310,89,17,60,62
82100,5,0,206,89,19,322,154
215900,-1,0,323,102,34,43,350
17200,-2,0,134,111,23,478,350
9410,55,68,105,173,9,310,43
33200,4,0,86,220,52,283,62
